,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
276,Severo-Kurilsk,100,RU,1567041664,98,50.68,156.12,49.19,7.11
277,Verkhnyaya Inta,100,RU,1567041665,85,65.99,60.32,36.59,6.35
278,Jiwani,43,PK,1567041666,75,25.05,61.74,83.21,11.12
279,Tarut,5,SA,1567041668,79,26.57,50.06,91.4,4.7
280,Opotiki,12,NZ,1567041530,73,-38.01,177.29,57.99,7.0
281,Lubango,0,AO,1567041670,84,-14.92,13.49,58.55,1.36
282,Glendive,1,US,1567041671,28,47.11,-104.71,82.0,10.29
283,Isla Mujeres,20,MX,1567041672,78,21.23,-86.73,82.4,5.82
284,Petropavlovka,30,RU,1567041674,80,50.61,105.32,54.59,2.17
285,Vanimo,98,PG,1567041675,75,-2.67,141.3,81.05,3.76
286,Tevriz,87,RU,1567041676,93,57.51,72.4,44.33,5.32
287,Rampur,32,IN,1567041677,87,28.8,79.03,79.61,5.1
288,Mazagao,75,BR,1567041679,100,-0.12,-51.29,80.6,4.7
289,Esmeralda,100,CL,1567041680,85,-34.33,-70.9,58.55,3.36
290,Barpathar,40,IN,1567041681,91,26.3,93.87,76.01,0.58
291,Zhanaozen,0,KZ,1567041682,63,43.35,52.85,66.29,14.25
292,Avera,1,US,1567041684,94,33.19,-82.53,80.6,1.16
293,Nikolskoye,0,RU,1567041685,76,59.7,30.79,60.01,2.24
294,Salinopolis,33,BR,1567041686,80,-0.61,-47.36,81.05,18.79
295,Gigmoto,100,PH,1567041687,82,13.78,124.39,82.31,17.85
296,Skibbereen,20,IE,1567041689,93,51.55,-9.27,51.8,10.29
297,Zemio,11,CF,1567041690,80,5.02,25.13,65.39,1.54
298,Te Anau,100,NZ,1567041691,83,-45.41,167.72,39.83,8.21
299,Popondetta,96,PG,1567041693,88,-8.77,148.24,70.97,3.15
300,Manono,0,CD,1567041694,51,-7.3,27.4,73.49,2.24
301,Mandalgovi,0,MN,1567041695,52,45.76,106.27,59.27,3.31
302,Powell River,75,CA,1567041696,50,49.84,-124.52,86.0,6.93
303,Portland,90,US,1567041697,93,43.66,-70.25,64.4,6.93
304,Malangali,0,TZ,1567041699,66,-8.57,34.85,60.53,2.33
305,Harrismith,85,ZA,1567041700,93,-28.27,29.13,47.21,4.97
306,Jinchang,0,CN,1567041701,34,38.52,102.19,61.43,2.51
307,Kimbe,75,PG,1567041702,57,-5.56,150.15,89.51,1.61
308,Port-Gentil,85,GA,1567041704,85,-0.72,8.78,76.01,13.33
309,Nemuro,75,JP,1567041705,100,43.32,145.57,64.4,10.29
310,Arman,99,RU,1567041706,81,59.7,150.17,52.61,4.34
311,Loralai,56,PK,1567041495,56,30.37,68.6,74.03,1.99
312,Bon Air,90,US,1567041709,94,37.52,-77.56,72.0,3.67
313,Venado Tuerto,100,AR,1567041710,79,-33.75,-61.97,72.0,7.0
314,Matara,34,BI,1567041711,81,-3.48,29.48,52.97,0.6
315,Kantang,40,TH,1567041712,94,7.42,99.52,75.2,3.36
316,Norman Wells,75,CA,1567041714,71,65.28,-126.83,50.0,13.87
317,Tecoanapa,5,MX,1567041715,70,16.99,-99.26,87.8,5.82
318,Mayna,0,RU,1567041716,88,53.0,91.49,53.15,2.06
319,Deputatskiy,98,RU,1567041614,71,69.3,139.9,34.61,10.22
320,Roebourne,6,AU,1567041719,60,-20.77,117.15,70.79,6.93
321,Farmington,1,US,1567041720,7,36.73,-108.21,89.6,13.87
322,Bilibino,100,RU,1567041721,92,68.06,166.44,39.29,1.72
323,Sirsilla,100,IN,1567041722,85,18.39,78.81,72.41,4.88
324,Roswell,1,US,1567041724,40,33.39,-104.52,89.6,17.22
325,Mountain Home,1,US,1567041519,7,43.13,-115.69,96.8,8.05
326,Namie,75,JP,1567041726,83,37.52,140.86,79.0,4.7
327,Puri,100,ID,1567041727,72,-7.54,112.45,74.03,7.34
328,Rio Gallegos,0,AR,1567041729,60,-51.62,-69.22,39.2,24.16
329,Plainview,1,US,1567041730,61,34.18,-101.71,80.6,8.05
330,Ouargaye,100,BF,1567041731,96,11.5,0.06,72.41,2.46
331,Constitucion,75,MX,1567041732,43,23.99,-104.67,73.0,8.05
332,Tateyama,75,JP,1567041734,94,36.66,137.31,79.0,2.24
333,Kidal,43,ML,1567041735,62,18.44,1.41,83.39,10.87
334,Muana,39,BR,1567041736,86,-1.53,-49.22,76.91,5.12
335,Fowa,69,NG,1567041737,93,8.92,6.4,73.85,4.29
336,Emerald,75,AU,1567041739,49,-23.53,148.16,71.6,10.29
337,Oistins,20,BB,1567041740,78,13.07,-59.53,82.4,10.29
338,Mahuva,97,IN,1567041741,88,21.09,71.76,79.25,6.46
339,Atocha,5,AR,1567041742,64,-24.82,-65.48,75.2,4.7
340,Gizo,20,IL,1567041744,78,31.8,34.94,78.8,4.7
341,Hjelset,67,NO,1567041745,88,62.78,7.5,62.6,3.36
342,Ust-Tsilma,36,RU,1567041746,95,65.44,52.15,33.71,3.33
343,Boende,68,CD,1567041747,74,-0.28,20.88,75.11,2.08
344,Kutum,17,SD,1567041749,65,14.2,24.66,75.11,4.74
345,Fortuna,1,US,1567041750,77,40.6,-124.16,71.01,10.29
346,Nikolayevsk-na-amure,17,RU,1567041751,52,53.14,140.72,65.39,4.7
347,Victoria,75,BN,1567041571,65,5.28,115.24,82.4,8.05
348,Turukhansk,99,RU,1567041754,90,65.8,87.96,48.83,17.27
349,Penalva,12,BR,1567041755,70,-3.29,-45.17,77.45,2.84
350,Tolaga Bay,30,NZ,1567041756,35,-38.37,178.3,60.17,4.14
351,Husavik,68,CA,1567041757,50,50.56,-96.99,66.0,8.95
352,Hadrut,0,AZ,1567041758,56,39.52,47.03,65.39,4.09
353,Ust-Barguzin,32,RU,1567041760,83,53.41,109.03,55.67,0.56
354,Srednekolymsk,85,RU,1567041761,63,67.46,153.71,39.65,8.55
355,Tilichiki,100,RU,1567041762,89,60.47,166.1,51.17,2.24
356,Biloela,0,AU,1567041764,51,-24.4,150.51,68.99,7.49
357,Aripuana,95,BR,1567041765,45,-9.17,-60.63,82.49,1.95
358,Werda,0,BW,1567041766,19,-25.27,23.28,52.43,6.62
359,Kotka,0,FI,1567041767,93,60.47,26.95,57.2,6.93
360,La Ronge,90,CA,1567041768,93,55.1,-105.3,53.6,5.82
361,Sadat,9,YE,1567041770,62,14.53,44.17,70.25,3.4
362,Cabedelo,75,BR,1567041771,94,-6.97,-34.84,71.6,5.82
363,Hibbing,1,US,1567041746,58,47.43,-92.94,60.8,3.36
364,Pathein,60,MM,1567041773,88,16.78,94.73,77.99,2.06
365,Yumen,62,CN,1567041775,18,40.29,97.04,70.97,13.62
366,Nuristan,0,UZ,1567041776,40,38.49,65.64,69.8,4.7
367,Springfield,1,US,1567041627,57,37.22,-93.29,78.01,6.93
368,Opuwo,4,NA,1567041670,71,-18.06,13.84,52.79,2.57
369,Georgetown,20,GY,1567041666,78,6.8,-58.16,82.4,9.17
370,Sisophon,100,KH,1567041781,94,13.59,102.97,75.65,10.31
371,Sogne,84,NO,1567041782,100,58.08,7.82,64.99,2.24
372,Kerman,0,IR,1567041783,9,30.29,57.06,59.0,4.7
373,Lebu,75,ET,1567041784,87,8.96,38.73,55.4,11.41
374,Mattawa,75,CA,1567041785,100,46.32,-78.7,61.0,8.05
375,Los Llanos de Aridane,40,ES,1567041787,69,28.66,-17.92,73.4,12.75
376,Sao Filipe,60,CV,1567041788,76,14.9,-24.5,79.07,9.82
377,Sur,67,OM,1567041789,44,22.57,59.53,84.29,8.39
378,Quatre Cocos,75,MU,1567041791,88,-20.21,57.76,71.01,8.05
379,Half Moon Bay,75,US,1567041571,68,37.46,-122.43,75.99,13.87
380,Tura,100,RU,1567041793,96,64.27,100.22,52.07,2.75
381,Sarbogard,55,HU,1567041794,48,46.89,18.62,72.41,2.82
382,Koslan,48,RU,1567041795,91,63.46,48.9,32.99,1.52
383,Luanda,40,AO,1567041797,94,-8.83,13.24,69.8,5.82
384,Urusha,0,RU,1567041798,54,54.05,122.9,65.93,1.48
385,Launceston,0,AU,1567041671,53,-41.43,147.14,51.01,3.36
386,Sandpoint,1,US,1567041629,15,48.28,-116.55,89.6,3.36
387,Bukachacha,28,RU,1567041802,60,52.99,116.91,60.53,2.84
388,Grindavik,90,IS,1567041803,93,63.84,-22.43,50.0,9.17
389,Iracoubo,33,GF,1567041804,83,5.48,-53.21,77.27,6.76
390,Pringsewu,98,ID,1567041805,94,-5.36,104.98,71.15,0.87
391,Yashkul,0,RU,1567041807,52,46.17,45.34,57.65,11.43
392,Batangafo,94,CF,1567041808,94,7.3,18.29,69.71,2.51
393,Comodoro Rivadavia,0,AR,1567041704,45,-45.87,-67.48,48.2,19.46
394,Kolpashevo,77,RU,1567041810,79,58.31,82.9,48.47,4.68
395,Praya,20,ID,1567041812,61,-8.71,116.27,80.6,9.17
396,Chakia,93,IN,1567041813,75,26.42,85.05,84.11,5.39
397,Itarantim,89,BR,1567041814,93,-15.65,-40.06,60.89,3.83
398,Tarko-Sale,99,RU,1567041567,94,64.92,77.78,46.0,3.0
399,Genhe,27,CN,1567041816,64,50.78,121.52,58.73,4.92
400,Port Lincoln,8,AU,1567041818,67,-34.72,135.86,52.61,15.32
401,Caravelas,31,BR,1567041819,84,-17.73,-39.27,68.81,9.64
402,Aksay,76,KZ,1567041820,72,51.17,53.01,50.63,17.85
403,Berlevag,56,NO,1567041821,82,70.86,29.09,53.15,7.87
404,Fountain Hills,1,US,1567041822,21,33.61,-111.72,107.6,11.41
405,Gamba,77,CN,1567041824,73,28.28,88.52,42.17,1.36
406,Honiara,75,SB,1567041825,70,-9.43,159.96,86.0,6.93
407,Templin,0,DE,1567041826,73,53.12,13.5,71.01,4.7
408,Brae,100,GB,1567041828,87,60.4,-1.35,53.6,10.29
409,Hecun,75,CN,1567041829,97,29.94,119.31,70.43,3.18
410,Shingu,75,JP,1567041830,88,33.72,135.99,80.6,6.93
411,Bubaque,50,GW,1567041832,84,11.28,-15.83,79.79,14.43
412,Abu Dhabi,0,AE,1567041833,66,24.47,54.37,89.6,5.82
413,Codrington,75,AU,1567041834,37,-28.95,153.24,72.0,9.17
414,Tiksi,5,RU,1567041835,83,71.64,128.87,37.31,21.43
415,Port Augusta,0,AU,1567041836,57,-32.49,137.76,53.01,12.75
416,Ochamchira,13,GE,1567041838,74,42.71,41.47,69.35,3.53
417,Cosoleacaque,40,MX,1567041839,79,18.0,-94.64,84.2,11.41
418,Iralaya,40,HN,1567041840,74,15.0,-83.23,84.2,6.93
419,Ust-Maya,40,RU,1567041841,83,60.42,134.54,57.11,3.74
420,Kieta,100,PG,1567041843,75,-6.22,155.63,80.87,4.45
421,Nara,75,JP,1567041844,74,34.68,135.8,87.01,20.8
422,Mananjary,0,MG,1567041845,82,-19.16,46.8,52.79,5.64
423,Eureka,90,US,1567041834,82,40.8,-124.16,71.01,6.93
424,Katsuura,75,JP,1567041848,78,33.93,134.5,86.0,3.36
425,Cayenne,0,GF,1567041596,88,4.94,-52.33,75.2,3.36
426,Karratha,13,AU,1567041850,67,-20.74,116.85,69.89,6.11
427,Road Town,40,VG,1567041851,100,18.42,-64.62,82.99,19.46
428,Kahului,75,US,1567041730,83,20.89,-156.47,91.4,9.17
429,Taksimo,100,RU,1567041854,59,56.36,114.84,57.83,3.44
430,Mayumba,67,GA,1567041855,91,-3.44,10.65,73.49,6.15
431,Beloha,0,MG,1567041856,83,-25.17,45.06,61.25,3.47
432,Srivardhan,45,IN,1567041858,87,18.03,73.02,77.45,5.95
433,Sesimbra,0,PT,1567041859,88,38.45,-9.1,68.0,6.93
434,Wucheng,75,CN,1567041860,94,29.09,119.57,77.09,1.92
435,Banda Aceh,100,ID,1567041861,79,5.56,95.32,82.49,18.72
436,Nokha,92,IN,1567041863,65,27.56,73.47,85.01,1.14
437,Carlyle,90,CA,1567041864,55,49.63,-102.27,64.4,25.28
438,Rutul,75,RU,1567041865,64,41.53,47.42,73.4,4.7
439,Jinxiang,0,CN,1567041866,65,35.07,116.31,70.97,10.18
440,Alice Springs,0,AU,1567041868,24,-23.7,133.88,59.0,13.87
441,Mezen,100,RU,1567041869,87,65.85,44.24,41.99,6.42
442,Esso,97,RU,1567041870,73,55.93,158.7,49.55,0.38
443,Mogadishu,28,SO,1567041617,78,2.04,45.34,75.29,13.6
444,Bara,0,NG,1567041872,90,10.41,10.6,71.51,3.47
445,San Felipe,99,CL,1567041874,60,-32.75,-70.73,64.0,1.97
446,Vestmannaeyjar,63,IS,1567041875,88,63.44,-20.27,49.37,15.66
447,Goias,98,BR,1567041876,33,-15.93,-50.14,78.17,4.9
448,Pinega,98,RU,1567041877,96,64.7,43.39,39.11,4.05
449,Mouila,91,GA,1567041879,78,-1.86,11.06,75.11,3.06
450,Pontianak,100,ID,1567041880,83,-0.02,109.34,78.71,10.85
451,Jertih,75,MY,1567041881,88,5.74,102.5,77.0,3.36
452,Bogo,100,CM,1567041882,86,10.74,14.61,74.75,2.13
453,Awjilah,0,LY,1567041884,75,29.14,21.3,74.57,8.59
454,Ruwi,0,OM,1567041599,74,23.6,58.55,82.4,2.24
455,Wembley,20,CA,1567041886,42,55.15,-119.14,62.6,9.17
456,Waingapu,30,ID,1567041887,73,-9.65,120.26,74.57,12.37
457,Ambositra,0,MG,1567041889,85,-20.53,47.24,49.73,2.42
458,Hami,0,CN,1567041890,13,42.84,93.51,80.51,5.44
459,Ondjiva,0,AO,1567041891,10,-17.07,15.73,60.53,4.09
460,Poya,37,NC,1567041892,75,-21.35,165.16,70.61,10.83
461,Nakamura,75,JP,1567041894,78,35.17,136.87,82.4,1.12
462,Manati,0,AL,1567041895,77,41.76,19.67,68.0,2.24
463,Morgan City,75,US,1567041896,94,29.7,-91.21,78.01,6.93
464,San Pedro,90,AR,1567041897,76,-33.68,-59.66,73.99,5.99
465,Agaro,84,ET,1567041898,96,7.86,36.59,55.49,2.86
466,Kilindoni,0,TZ,1567041900,77,-7.91,39.67,77.63,12.41
467,Hambantota,75,LK,1567041901,100,6.12,81.12,78.8,9.17
468,Nyurba,8,RU,1567041902,81,63.29,118.35,55.85,4.54
469,Ponta Delgada,40,PT,1567041634,94,37.73,-25.67,71.01,9.17
470,Bambanglipuro,99,ID,1567041905,85,-7.95,110.28,71.15,4.72
471,Bako,100,BF,1567041906,90,12.29,-0.73,72.59,5.17
472,Phek,38,IN,1567041907,91,25.7,94.46,74.21,2.33
473,Dunyapur,40,PK,1567041908,70,29.8,71.74,89.6,1.83
474,Oeiras do Para,16,BR,1567041910,68,-2.0,-49.85,78.89,3.51
475,Harper,1,US,1567041911,46,30.3,-99.24,90.0,5.82
476,Ler,20,NO,1567041912,82,63.2,10.3,63.0,9.17
477,Dundee,0,GB,1567041913,93,56.46,-2.97,55.0,1.12
478,Ballina,50,IE,1567041915,88,54.11,-9.15,57.99,7.0
479,Kudahuvadhoo,100,MV,1567041916,71,2.67,72.89,83.03,7.09
480,Tadine,8,NC,1567041917,73,-21.55,167.88,72.05,10.25
481,Lethem,59,GY,1567041918,61,3.38,-59.8,83.39,3.74
482,Tocopilla,72,CL,1567041919,83,-22.09,-70.2,57.47,4.7
483,Kamariotissa,0,GR,1567041921,64,40.48,25.47,75.2,14.99
484,Broome,89,GB,1567041922,88,52.47,1.45,64.0,2.24
485,Monrovia,75,LR,1567041679,94,6.33,-10.8,75.2,10.58
486,Cockburn Town,43,TC,1567041785,74,21.46,-71.14,82.49,12.21
487,Gazanjyk,0,TM,1567041925,38,39.24,55.52,77.09,14.03
488,Nushki,0,PK,1567041927,20,29.55,66.02,76.91,3.65
489,Darhan,0,MN,1567041928,71,49.49,105.92,56.39,3.67
490,Vilyuysk,20,RU,1567041929,78,63.75,121.63,58.37,4.38
491,Vannes,90,FR,1567041930,87,47.66,-2.76,64.99,8.05
492,Elyakhin,20,IL,1567041932,78,32.41,34.92,78.8,4.7
493,Tautira,20,PF,1567041933,69,-17.73,-149.15,82.4,18.34
494,Gornorechenskiy,96,RU,1567041934,91,44.26,135.11,59.99,2.89
495,Zyryanka,98,RU,1567041935,62,65.73,150.89,43.43,13.8
496,Sevnica,100,SI,1567041936,100,46.01,15.3,69.8,2.24
497,Wisconsin Rapids,1,US,1567041863,59,44.39,-89.82,64.99,5.82
498,Podor,0,MR,1567041939,55,16.65,-14.96,87.8,2.24
499,Salalah,90,OM,1567041940,94,17.01,54.1,78.8,4.7
500,Bouna,100,CI,1567041941,94,9.27,-3.0,72.41,5.32
501,Skorodnoye,0,RU,1567041942,61,51.07,37.24,48.2,6.71
502,Viedma,91,AR,1567041944,72,-40.81,-62.99,49.19,2.42
503,Hingoli,75,IN,1567041945,86,19.72,77.14,73.85,4.43
504,North Bend,1,US,1567041946,82,43.41,-124.22,91.99,14.99
505,Birjand,0,IR,1567041947,21,32.86,59.22,62.6,4.7
506,Temir,100,KZ,1567041949,71,49.14,57.13,56.39,12.75
507,Bulembu,66,SZ,1567041950,93,-25.95,31.13,66.99,2.24
508,Ust-Nera,100,RU,1567041951,93,64.57,143.24,36.59,8.23
509,Sokoni,0,CD,1567041952,34,-12.89,28.78,59.27,4.0
510,Smolenka,15,PL,1567041954,94,54.15,22.76,68.0,13.78
511,Coari,33,BR,1567041955,52,-4.09,-63.14,84.65,1.92
512,Baykit,7,RU,1567041956,94,61.68,96.39,45.95,2.75
513,Bechem,94,GH,1567041957,99,7.09,-2.02,70.43,2.82
514,Jinka,93,ET,1567041958,78,5.79,36.57,64.13,3.31
515,Beringovskiy,99,RU,1567041960,66,63.05,179.32,56.39,5.53
516,Sao Jose da Coroa Grande,21,BR,1567041961,92,-8.9,-35.15,67.01,3.22
517,Bandarbeyla,23,SO,1567041909,73,9.49,50.81,73.13,24.85
518,NEDJO,0,ET,1567041963,94,9.5,35.5,55.13,0.98
519,Show Low,1,US,1567041788,72,34.25,-110.03,78.01,9.17
520,Yerbogachen,0,RU,1567041966,69,61.28,108.01,54.77,4.25
521,Olkhovka,100,RU,1567041967,64,53.21,60.61,53.87,5.37
522,Kununurra,60,AU,1567041968,11,-15.77,128.74,77.0,19.46
523,Kargasok,84,RU,1567041969,85,59.06,80.87,46.13,3.53
524,Pinawa,83,CA,1567041971,62,50.15,-95.88,61.97,3.78
525,Elko,1,US,1567041690,18,40.83,-115.76,89.6,5.82
526,Talas,1,KG,1567041973,42,42.52,72.24,59.09,3.85
527,Yulara,0,AU,1567041974,21,-25.24,130.99,59.0,10.29
528,Baoqing,38,CN,1567041976,90,46.32,132.2,65.93,1.52
529,Ewa Beach,75,US,1567041845,49,21.32,-158.01,89.6,8.05
530,Kohlu,18,PK,1567041978,54,29.9,69.25,80.33,2.95
531,Mahebourg,75,MU,1567041979,88,-20.41,57.7,71.01,8.05
532,Ä°zmit,40,TR,1567041981,100,40.76,29.93,75.0,8.52
533,Pingyin,0,CN,1567041982,55,36.28,116.45,70.97,7.47
534,Musoma,20,TZ,1567041983,82,-1.5,33.81,68.0,8.72
535,Yueyang,99,CN,1567041984,74,29.36,113.12,75.29,4.85
536,Artyom,40,RU,1567041986,94,43.36,132.19,68.0,2.24
537,Alofi,75,NU,1567041987,73,-19.06,-169.92,77.0,16.11
538,Bonanza,84,NI,1567041988,70,14.03,-84.62,76.91,3.6
539,Gorontalo,81,ID,1567041819,66,0.54,123.06,79.79,8.14
540,Staryy Nadym,100,RU,1567041991,91,65.61,72.68,42.89,18.28
541,Maningrida,17,AU,1567041992,25,-12.05,134.23,75.47,15.61
542,Tuatapere,85,NZ,1567041993,73,-46.13,167.69,46.99,18.99
543,Ambilobe,0,MG,1567041994,75,-13.19,49.05,68.63,8.5
544,Paso de los Toros,35,UY,1567041995,92,-32.81,-56.52,66.47,10.04
545,Chara,0,GR,1567041997,55,39.42,22.43,68.0,0.58
546,Borba,38,BR,1567041998,57,-4.39,-59.59,79.97,1.81
547,Maine-Soroa,0,NE,1567041999,50,13.21,12.02,85.19,5.59
548,Vitim,0,RU,1567042001,68,59.44,112.57,55.67,2.44
549,Porto Novo,75,BR,1567042002,93,-23.68,-45.44,59.0,8.05
550,Zabid,44,YE,1567042003,63,14.2,44.5,69.89,1.95
551,Adamas,0,GR,1567042004,65,36.73,24.43,77.99,25.08
552,Port Hedland,10,AU,1567042006,38,-20.31,118.58,77.0,4.7
553,Melchor de Mencos,40,GT,1567042007,58,17.06,-89.15,86.0,6.93
554,San Policarpo,95,PH,1567042008,75,12.18,125.51,81.95,4.03
555,Paragould,1,US,1567042009,94,36.06,-90.5,75.99,4.7
